Not Bound Resource Budget Analysis Report

Resource Summary: 
  MIPS capacity 57,000 MIPS : MIPS budget 54,870 MIPS
  8 out of 8 with MIPS capacity
*   192 out of 193 with MIPS budget



Detailed Processor MIPS Capacity Report 

Component,Capacity
processor cpu, 25,500 MIPS,
processor wstepna_obrobka_sys.cpu, 4,500 MIPS,
processor kadz_filtracyjna_sys.cpu, 4,500 MIPS,
processor warzenie_sys.cpu, 4,500 MIPS,
processor parowanie_sys.cpu, 4,500 MIPS,
processor wirowanie_sys.cpu, 4,500 MIPS,
processor fermentacja_sys.cpu, 4,500 MIPS,
processor butelkowanie_sys.cpu, 4,500 MIPS,
Total, 57,000 MIPS,


Detailed MIPS Budget Report 

Component,Budget,Actual,Notes
    thread kadz_filtracyjna_sys.button_control.button_control_thread,     0,800 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.kadz_filtracyjna_sys.button_control.button_control_thread total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
  process kadz_filtracyjna_sys.button_control,   0,800 MIPS,  0,450 MIPS,process WarzeniePiwa_impl_Instance.kadz_filtracyjna_sys.button_control total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
    thread kadz_filtracyjna_sys.timer_control_proc.timer_thread,     0,800 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.kadz_filtracyjna_sys.timer_control_proc.timer_thread total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
  process kadz_filtracyjna_sys.timer_control_proc,   0,800 MIPS,  0,450 MIPS,process WarzeniePiwa_impl_Instance.kadz_filtracyjna_sys.timer_control_proc total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
    thread kadz_filtracyjna_sys.monitor_ctrl.control,     0,800 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.kadz_filtracyjna_sys.monitor_ctrl.control total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
  process kadz_filtracyjna_sys.monitor_ctrl,   0,800 MIPS,  0,450 MIPS,process WarzeniePiwa_impl_Instance.kadz_filtracyjna_sys.monitor_ctrl total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
system kadz_filtracyjna_sys, 11,500 MIPS,11,320 MIPS,system WarzeniePiwa_impl_Instance.kadz_filtracyjna_sys total 11,320 MIPS below budget 11,500 MIPS (1,6 % slack)
  device warzenie_sys.start_button,   0,100 MIPS,  0,000 MIPS,device WarzeniePiwa_impl_Instance.warzenie_sys.start_button total 0,000 MIPS below budget 0,100 MIPS (100,0 % slack)
  device warzenie_sys.klawiatura,   0,100 MIPS,  0,000 MIPS,device WarzeniePiwa_impl_Instance.warzenie_sys.klawiatura total 0,000 MIPS below budget 0,100 MIPS (100,0 % slack)
  device warzenie_sys.temp_sensor,   0,100 MIPS,  0,000 MIPS,device WarzeniePiwa_impl_Instance.warzenie_sys.temp_sensor total 0,000 MIPS below budget 0,100 MIPS (100,0 % slack)
  device warzenie_sys.pressure_sensor,   0,100 MIPS,  0,000 MIPS,device WarzeniePiwa_impl_Instance.warzenie_sys.pressure_sensor total 0,000 MIPS below budget 0,100 MIPS (100,0 % slack)
  device warzenie_sys.heater,   0,100 MIPS,  0,000 MIPS,device WarzeniePiwa_impl_Instance.warzenie_sys.heater total 0,000 MIPS below budget 0,100 MIPS (100,0 % slack)
  device warzenie_sys.pressure_controler,   0,100 MIPS,  0,000 MIPS,device WarzeniePiwa_impl_Instance.warzenie_sys.pressure_controler total 0,000 MIPS below budget 0,100 MIPS (100,0 % slack)
  device warzenie_sys.KadzWarzelna,   0,100 MIPS,  0,000 MIPS,device WarzeniePiwa_impl_Instance.warzenie_sys.KadzWarzelna total 0,000 MIPS below budget 0,100 MIPS (100,0 % slack)
  device warzenie_sys.timer,   0,100 MIPS,  0,000 MIPS,device WarzeniePiwa_impl_Instance.warzenie_sys.timer total 0,000 MIPS below budget 0,100 MIPS (100,0 % slack)
  device warzenie_sys.monitor,   0,100 MIPS,  0,000 MIPS,device WarzeniePiwa_impl_Instance.warzenie_sys.monitor total 0,000 MIPS below budget 0,100 MIPS (100,0 % slack)
    thread warzenie_sys.keyboard_cont_process.keyboard_control,     0,800 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.warzenie_sys.keyboard_cont_process.keyboard_control total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
  process warzenie_sys.keyboard_cont_process,   0,800 MIPS,  0,450 MIPS,process WarzeniePiwa_impl_Instance.warzenie_sys.keyboard_cont_process total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
    thread warzenie_sys.input_processing_process.process_thread,     1,000 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.warzenie_sys.input_processing_process.process_thread total 0,450 MIPS below budget 1,000 MIPS (55,0 % slack)
  process warzenie_sys.input_processing_process,   1,500 MIPS,  0,450 MIPS,process WarzeniePiwa_impl_Instance.warzenie_sys.input_processing_process total 0,450 MIPS below budget 1,500 MIPS (70,0 % slack)
    thread warzenie_sys.KadzWarzelna_proc.input_gate_c,     2,500 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.warzenie_sys.KadzWarzelna_proc.input_gate_c total 0,450 MIPS below budget 2,500 MIPS (82,0 % slack)
    thread warzenie_sys.KadzWarzelna_proc.output_gate_c,     2,500 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.warzenie_sys.KadzWarzelna_proc.output_gate_c total 0,450 MIPS below budget 2,500 MIPS (82,0 % slack)
    thread warzenie_sys.KadzWarzelna_proc.KadzWarzelna_decision_center,     0,800 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.warzenie_sys.KadzWarzelna_proc.KadzWarzelna_decision_center total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
  process warzenie_sys.KadzWarzelna_proc,   1,500 MIPS,  1,350 MIPS,process WarzeniePiwa_impl_Instance.warzenie_sys.KadzWarzelna_proc total 1,350 MIPS below budget 1,500 MIPS (10,0 % slack)
    thread warzenie_sys.heater_control_proc.read_temp,     0,800 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.warzenie_sys.heater_control_proc.read_temp total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
    thread warzenie_sys.heater_control_proc.control,     2,500 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.warzenie_sys.heater_control_proc.control total 0,450 MIPS below budget 2,500 MIPS (82,0 % slack)
    thread warzenie_sys.heater_control_proc.heater_ctrl,     2,500 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.warzenie_sys.heater_control_proc.heater_ctrl total 0,450 MIPS below budget 2,500 MIPS (82,0 % slack)
  process warzenie_sys.heater_control_proc,   7,000 MIPS,  1,350 MIPS,process WarzeniePiwa_impl_Instance.warzenie_sys.heater_control_proc total 1,350 MIPS below budget 7,000 MIPS (80,7 % slack)
    thread warzenie_sys.pressure_control_proc.read_pressure,     0,800 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.warzenie_sys.pressure_control_proc.read_pressure total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
    thread warzenie_sys.pressure_control_proc.control,     2,500 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.warzenie_sys.pressure_control_proc.control total 0,450 MIPS below budget 2,500 MIPS (82,0 % slack)
    thread warzenie_sys.pressure_control_proc.pressure_ctrl,     2,500 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.warzenie_sys.pressure_control_proc.pressure_ctrl total 0,450 MIPS below budget 2,500 MIPS (82,0 % slack)
  process warzenie_sys.pressure_control_proc,   7,000 MIPS,  1,350 MIPS,process WarzeniePiwa_impl_Instance.warzenie_sys.pressure_control_proc total 1,350 MIPS below budget 7,000 MIPS (80,7 % slack)
    thread warzenie_sys.timer_control_proc.timer_thread,     0,800 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.warzenie_sys.timer_control_proc.timer_thread total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
  process warzenie_sys.timer_control_proc,   0,800 MIPS,  0,450 MIPS,process WarzeniePiwa_impl_Instance.warzenie_sys.timer_control_proc total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
    thread warzenie_sys.button_control.button_control_thread,     0,800 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.warzenie_sys.button_control.button_control_thread total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
  process warzenie_sys.button_control,   0,800 MIPS,  0,450 MIPS,process WarzeniePiwa_impl_Instance.warzenie_sys.button_control total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
    thread warzenie_sys.monitor_ctrl.control,     0,800 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.warzenie_sys.monitor_ctrl.control total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
  process warzenie_sys.monitor_ctrl,   0,800 MIPS,  0,450 MIPS,process WarzeniePiwa_impl_Instance.warzenie_sys.monitor_ctrl total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
system warzenie_sys, 10,000 MIPS,7,200 MIPS,system WarzeniePiwa_impl_Instance.warzenie_sys total 7,200 MIPS below budget 10,000 MIPS (28,0 % slack)
  device parowanie_sys.start_button,   0,100 MIPS,  0,000 MIPS,device WarzeniePiwa_impl_Instance.parowanie_sys.start_button total 0,000 MIPS below budget 0,100 MIPS (100,0 % slack)
  device parowanie_sys.klawiatura,   0,100 MIPS,  0,000 MIPS,device WarzeniePiwa_impl_Instance.parowanie_sys.klawiatura total 0,000 MIPS below budget 0,100 MIPS (100,0 % slack)
  device parowanie_sys.parownik,   0,100 MIPS,  0,000 MIPS,device WarzeniePiwa_impl_Instance.parowanie_sys.parownik total 0,000 MIPS below budget 0,100 MIPS (100,0 % slack)
  device parowanie_sys.moisture_lvl_sensor,   0,100 MIPS,  0,000 MIPS,device WarzeniePiwa_impl_Instance.parowanie_sys.moisture_lvl_sensor total 0,000 MIPS below budget 0,100 MIPS (100,0 % slack)
  device parowanie_sys.monitor,   0,100 MIPS,  0,000 MIPS,device WarzeniePiwa_impl_Instance.parowanie_sys.monitor total 0,000 MIPS below budget 0,100 MIPS (100,0 % slack)
    thread parowanie_sys.keyboard_cont_process.keyboard_control,     0,800 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.parowanie_sys.keyboard_cont_process.keyboard_control total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
  process parowanie_sys.keyboard_cont_process,   0,800 MIPS,  0,450 MIPS,process WarzeniePiwa_impl_Instance.parowanie_sys.keyboard_cont_process total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
    thread parowanie_sys.input_processing_process.process_thread,     2,500 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.parowanie_sys.input_processing_process.process_thread total 0,450 MIPS below budget 2,500 MIPS (82,0 % slack)
  process parowanie_sys.input_processing_process,   0,800 MIPS,  0,450 MIPS,process WarzeniePiwa_impl_Instance.parowanie_sys.input_processing_process total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
    thread parowanie_sys.moisture_control_process.sensor_thread,     0,800 MIPS,    0,450 MIPS,thread WarzeniePiwa_impl_Instance.parowanie_sys.moisture_control_process.sensor_thread total 0,450 MIPS below budget 0,800 MIPS (43,8 % slack)
